#Channel A = UTC_IT
#Channel B = 1PPS OUT HROG
#Channel measurement setting = B-A
#TIC reference frequency = 10 MHz UTC(IT)
#MJD 53230A_meas
60376.00083333127 +1.84223990061313E-007
60376.00084490828 +1.84233755686313E-007
60376.00085648149 +1.84219107248813E-007
60376.00086805471 +1.84248404123813E-007
60376.00087962995 +1.84233755686313E-007
60376.00089120519 +1.84233755686313E-007
60376.00090277841 +1.84248404123813E-007
60376.00091435163 +1.84248404123813E-007
60376.00092592484 +1.84263052561313E-007
60376.00093749805 +1.84248404123813E-007
60376.00094907127 +1.84233755686313E-007
60376.00096064449 +1.84233755686313E-007
60376.000972217706 +1.84233755686313E-007
60376.00098379092 +1.84233755686313E-007
60376.00099536413 +1.84223990061313E-007
60376.00100693735 +1.84223990061313E-007
60376.001018510564 +1.84248404123813E-007
60376.001030083775 +1.84233755686313E-007
60376.00104165699 +1.84233755686313E-007
60376.00105323021 +1.84223990061313E-007
60376.00106480344 +1.84233755686313E-007
60376.00107637663 +1.84248404123813E-007
60376.001087949844 +1.84248404123813E-007
60376.00109952307 +1.84219107248813E-007
60376.001111096295 +1.84248404123813E-007
60376.001122669506 +1.84219107248813E-007
60376.001134242724 +1.84248404123813E-007
60376.00114581594 +1.84209341623813E-007
60376.00115738915 +1.84233755686313E-007
60376.001168962364 +1.84233755686313E-007
60376.00118053558 +1.84233755686313E-007
60376.0011921088 +1.84233755686313E-007
60376.00120368201 +1.84233755686313E-007
60376.00121525524 +1.84209341623813E-007
60376.00122682843 +1.84219107248813E-007
60376.001238401645 +1.84233755686313E-007
60376.00125006511 +1.84248404123813E-007
60376.00126163833 +1.84233755686313E-007
60376.001273211616 +1.84233755686313E-007
60376.00128478483 +1.84233755686313E-007
60376.001296267736 +1.84194693186313E-007
60376.001307840954 +1.84233755686313E-007
60376.001319414165 +1.84223990061313E-007
60376.00133098738 +1.84233755686313E-007
60376.0013425606 +1.84223990061313E-007
60376.00135413381 +1.84233755686313E-007
60376.00136570703 +1.84209341623813E-007
60376.00137737041 +1.84223990061313E-007
60376.00138894362 +1.84233755686313E-007
60376.00140051679 +1.84219107248813E-007
60376.00141209001 +1.84219107248813E-007
60376.00142357311 +1.84233755686313E-007
60376.00143514632 +1.84223990061313E-007
60376.001446719536 +1.84233755686313E-007
60376.001458292754 +1.84219107248813E-007
60376.001469865965 +1.84233755686313E-007
60376.00148143918 +1.84223990061313E-007
60376.00149301239 +1.84248404123813E-007
60376.00150467573 +1.84233755686313E-007
60376.001516249 +1.84233755686313E-007
60376.00152791228 +1.84233755686313E-007
60376.0015394856 +1.84233755686313E-007
60376.00155105893 +1.84233755686313E-007
60376.00156263244 +1.84263052561313E-007
60376.001574205846 +1.84233755686313E-007
60376.001585778955 +1.84248404123813E-007
60376.00159735217 +1.84233755686313E-007
60376.001608925384 +1.84223990061313E-007
60376.0016204986 +1.84219107248813E-007
60376.00163207181 +1.84248404123813E-007
60376.00164355904 +1.84248404123813E-007
60376.001655136395 +1.84233755686313E-007
60376.00166670971 +1.84233755686313E-007
60376.00167837304 +1.84233755686313E-007
60376.001689946366 +1.84233755686313E-007
60376.00170151987 +1.84219107248813E-007
60376.001713093276 +1.84233755686313E-007
60376.00172466639 +1.84233755686313E-007
60376.00173615291 +1.84219107248813E-007
60376.00174763944 +1.84233755686313E-007
60376.00175921267 +1.84233755686313E-007
60376.001770876006 +1.84223990061313E-007
60376.00178253933 +1.84223990061313E-007
60376.00179411254 +1.84219107248813E-007
60376.00180568578 +1.84233755686313E-007
60376.00181725928 +1.84248404123813E-007
60376.001828832785 +1.84223990061313E-007
60376.00184040601 +1.84258169748813E-007
60376.00185197922 +1.84233755686313E-007
60376.00186355243 +1.84233755686313E-007
60376.00187512564 +1.84219107248813E-007
60376.001886698854 +1.84233755686313E-007
60376.00189827208 +1.84233755686313E-007
60376.001909845305 +1.84209341623813E-007
60376.001921421914 +1.84233755686313E-007
60376.00193299842 +1.84258169748813E-007
60376.001944571515 +1.84233755686313E-007
