#Channel A = UTC_IT
#Channel B = 1PPS OUT HROG
#Channel measurement setting = B-A
#TIC reference frequency = 10 MHz UTC(IT)
#MJD 53230A_meas
60374.00266175908 +1.83828482248813E-007
60374.00267333201 +1.83828482248813E-007
60374.00268490524 +1.83833365061313E-007
60374.00269647874 +1.83828482248813E-007
60374.002708051965 +1.83828482248813E-007
60374.00271962518 +1.83828482248813E-007
60374.00273119837 +1.83818716623813E-007
60374.00274277159 +1.83828482248813E-007
60374.00275434481 +1.83828482248813E-007
60374.00276591802 +1.83828482248813E-007
60374.002777491245 +1.83828482248813E-007
60374.002789064456 +1.83843130686313E-007
60374.00280063768 +1.83818716623813E-007
60374.0028122106 +1.83828482248813E-007
60374.002823783805 +1.83818716623813E-007
60374.002835357314 +1.83843130686313E-007
60374.00284693054 +1.83833365061313E-007
60374.00285850375 +1.83828482248813E-007
60374.00287007696 +1.83833365061313E-007
60374.00288165017 +1.83818716623813E-007
60374.0028932234 +1.83818716623813E-007
60374.00290479661 +1.83818716623813E-007
60374.00291636982 +1.83843130686313E-007
60374.00292794303 +1.83843130686313E-007
60374.00293951626 +1.83828482248813E-007
60374.00295108947 +1.83843130686313E-007
60374.00296266268 +1.83808950998813E-007
60374.002974235904 +1.83828482248813E-007
60374.002985809115 +1.83843130686313E-007
60374.00299738234 +1.83828482248813E-007
60374.00300895556 +1.83828482248813E-007
60374.00302052876 +1.83818716623813E-007
60374.00303210197 +1.83833365061313E-007
60374.0030436752 +1.83828482248813E-007
60374.00305524841 +1.83818716623813E-007
60374.00306682163 +1.83828482248813E-007
60374.00307839484 +1.83843130686313E-007
60374.00308996806 +1.83818716623813E-007
60374.00310154127 +1.83828482248813E-007
60374.00311311449 +1.83818716623813E-007
60374.003124687704 +1.83818716623813E-007
60374.00313626093 +1.83804068186313E-007
60374.00314783414 +1.83818716623813E-007
60374.00315940735 +1.83818716623813E-007
60374.00317098056 +1.83843130686313E-007
60374.00318255378 +1.83828482248813E-007
60374.003194127 +1.83828482248813E-007
60374.00320570021 +1.83818716623813E-007
60374.00321727342 +1.83818716623813E-007
60374.00322884663 +1.83818716623813E-007
60374.00324041986 +1.83828482248813E-007
60374.003251993076 +1.83828482248813E-007
60374.003263566294 +1.83828482248813E-007
60374.00327522993 +1.83828482248813E-007
60374.00328680314 +1.83843130686313E-007
60374.003298285934 +1.83833365061313E-007
60374.00330985915 +1.83828482248813E-007
60374.00332143238 +1.83828482248813E-007
60374.0033330056 +1.83843130686313E-007
60374.0033445788 +1.83818716623813E-007
60374.00335615202 +1.83804068186313E-007
